Date,Open,High,Low,Close,Adj Close,Volume
2023-05-04,80.997604,81.205109,77.741425,79.265762,78.918411,9055431
2023-05-05,80.271347,81.213089,79.608940,80.000000,79.649437,6302841
2023-05-08,79.984039,80.694336,79.984039,80.542702,80.189766,4282128
2023-05-09,80.422981,81.324821,80.422981,80.606544,80.253319,6520737
2023-05-10,80.989624,81.141258,78.579407,79.441338,79.093224,5053224
2023-05-11,79.329613,79.792496,78.866722,79.417397,79.069382,5117628
2023-05-12,79.473267,79.808456,77.980843,78.850761,78.505226,4332874
2023-05-15,79.122108,81.652039,79.026337,81.404633,81.047913,7973716
2023-05-16,80.790108,81.588188,80.518753,80.710297,80.356621,5523851
2023-05-17,81.300880,82.665604,81.045494,82.577812,82.215942,6871703
2023-05-18,82.114922,83.224258,81.189148,83.008781,82.645035,5772320
2023-05-19,83.415802,84.421387,82.873108,83.208298,82.843674,7230687
2023-05-22,83.080605,84.549080,83.080605,83.439743,83.074104,4996087
2023-05-23,82.889069,83.112534,80.830009,81.165207,80.809532,5738239
2023-05-24,80.830009,80.981644,79.736633,80.590584,80.237434,6275400
2023-05-25,80.925781,81.476456,80.239426,81.021545,80.666496,6737506
2023-05-26,81.077415,82.960892,81.053474,81.995209,81.635895,6796523
2023-05-30,82.218674,82.258575,80.335197,81.723862,81.365738,7098370
2023-05-31,80.861931,81.276932,79.577019,81.029526,80.674454,13358734
2023-06-01,80.774139,83.934555,80.662407,83.535515,83.169456,7797043
2023-06-02,84.197922,85.163605,83.431763,84.437347,84.067337,7477278
2023-06-05,84.437347,84.437347,83.080605,83.080605,82.716530,5108732
2023-06-06,83.264168,84.684753,83.080605,84.166000,83.797180,7794036
2023-06-07,85.107742,85.658417,84.309654,84.660812,84.289825,9121088
2023-06-08,84.469276,85.570633,84.301674,84.652832,84.281876,4477596
2023-06-09,84.828415,85.035912,83.862732,84.836395,84.464638,4365076
2023-06-12,84.844376,85.307266,84.317635,84.780525,84.409019,4677449
2023-06-13,84.620911,85.514763,84.445328,85.187553,84.814255,5411582
2023-06-14,85.171585,85.235435,82.968872,83.559456,83.193291,6429268
2023-06-15,83.351952,84.309654,82.992821,84.126099,83.757454,8733159
2023-06-16,84.557060,86.911415,84.549080,84.828415,84.456696,13731752
2023-06-20,84.660812,84.764565,82.529930,83.016762,82.652977,8068443
2023-06-21,82.713486,84.349564,82.665604,83.838783,83.471390,5983576
2023-06-22,83.527534,84.429367,83.511574,83.655228,83.288635,5292046
2023-06-23,82.274544,83.296089,81.915405,82.825218,82.462273,7532911
2023-06-26,82.625694,83.886673,82.490021,83.359940,82.994652,5326378
2023-06-27,83.503593,83.966476,83.288109,83.735039,83.368111,5973427
2023-06-28,84.030327,85.690346,83.774940,85.434959,85.060570,6009012
2023-06-29,84.772545,86.057465,84.628891,85.985634,85.608841,4070746
2023-06-30,86.983238,87.996811,86.671989,87.669594,87.285416,9250648
2023-07-03,87.039108,87.254585,85.642456,86.416603,86.037918,3723916
2023-07-05,86.368713,86.983238,86.001595,86.711891,86.331917,4588235
2023-07-06,86.201118,86.791702,85.283318,85.690346,85.314842,4594375
2023-07-07,85.506783,86.887466,85.347168,86.408623,86.029968,4843847
2023-07-10,86.520348,88.371910,86.488426,88.212288,87.907120,5805400
2023-07-11,88.371910,89.010376,87.972862,88.762970,88.455894,4746113
2023-07-12,88.818832,89.361534,88.499603,88.747009,88.439995,5403938
2023-07-13,88.786911,89.241821,88.443733,88.810852,88.503609,3477075
2023-07-14,88.587387,88.762970,87.813248,88.012772,87.708305,3405529
